element_id,size,ceiling_x_mm,ceiling_y_mm,finished_main_cable_mm,yoke_drop_mm,element_origin_drop_mm,top_edge_drop_mm,lowest_edge_drop_mm,target_yaw_deg,wing_fold_deg,nominal_wingspan_mm,nominal_body_axis_length_mm,nominal_thickness_mm,material_tier,design_release
VX-001,L,422.911,-410.912,562.507,562.507,657.938,590.507,664.588,2.056,42.0,186,108,7,LUX-GL,1.3.0
VX-002,M,830.441,-396.278,318.676,318.676,399.981,346.676,405.681,29.66,42.0,146,82,6,LUX-GL,1.3.0
VX-003,M,798.195,-197.199,329.998,329.998,411.303,357.998,417.003,245.502,42.0,146,82,6,LUX-GL,1.3.0
VX-004,L,803.529,-455.337,595.871,595.871,691.302,623.871,697.952,331.038,42.0,186,108,7,LUX-GL,1.3.0
VX-005,M,887.171,-246.442,622.023,622.023,703.328,650.023,709.028,94.516,42.0,146,82,6,LUX-GL,1.3.0
VX-006,M,772.245,-59.22,366.009,366.009,447.314,394.009,453.014,338.74,42.0,146,82,6,LUX-GL,1.3.0
VX-007,L,978.333,-281.911,364.297,364.297,459.728,392.297,466.378,343.584,42.0,186,108,7,LUX-GL,1.3.0
VX-008,M,877.774,-90.31,659.239,659.239,740.544,687.239,746.244,244.828,42.0,146,82,6,LUX-GL,1.3.0
VX-009,M,950.732,-340.64,1208.436,1208.436,1289.742,1236.436,1295.442,340.893,42.0,146,82,6,LUX-GL,1.3.0
VX-010,L,979.152,-125.428,402.345,402.345,497.776,430.345,504.426,110.353,42.0,186,108,7,LUX-GL,1.3.0
VX-011,M,807.512,45.437,1234.135,1234.135,1315.44,1262.135,1321.14,338.206,42.0,146,82,6,LUX-GL,1.3.0
VX-012,M,1075.249,-163.853,710.615,710.615,791.92,738.615,797.62,351.848,42.0,146,82,6,LUX-GL,1.3.0
VX-013,L,918.565,29.53,441.307,441.307,536.738,469.307,543.388,140.404,42.0,186,108,7,LUX-GL,1.3.0
VX-014,M,692.192,152.997,468.583,468.583,549.888,496.583,555.588,349.576,42.0,146,82,6,LUX-GL,1.3.0
VX-015,M,1027.006,9.58,750.059,750.059,831.364,778.059,837.064,1.869,42.0,146,82,6,LUX-GL,1.3.0
VX-016,L,804.277,156.654,749.22,749.22,844.651,777.22,851.301,344.328,42.0,186,108,7,LUX-GL,1.3.0
VX-017,M,1109.763,-13.638,508.44,508.44,589.745,536.44,595.445,359.655,42.0,146,82,6,LUX-GL,1.3.0
VX-018,M,915.555,155.983,1326.613,1326.613,1407.919,1354.613,1413.619,149.91,42.0,146,82,6,LUX-GL,1.3.0
VX-019,L,654.207,250.334,789.44,789.44,884.872,817.44,891.522,357.901,42.0,186,108,7,LUX-GL,1.3.0
VX-020,M,1023.019,152.045,548.827,548.827,630.132,576.827,635.832,9.551,42.0,146,82,6,LUX-GL,1.3.0
VX-021,M,760.215,268.171,562.392,562.392,643.698,590.392,649.398,345.985,42.0,146,82,6,LUX-GL,1.3.0
VX-022,L,1086.07,136.307,830.135,830.135,925.566,858.135,932.216,7.411,42.0,186,108,7,LUX-GL,1.3.0
VX-023,M,866.662,282.017,857.919,857.919,939.225,885.919,944.925,157.777,42.0,146,82,6,LUX-GL,1.3.0
VX-024,M,580.171,342.995,603.367,603.367,684.672,631.367,690.372,5.468,42.0,146,82,6,LUX-GL,1.3.0
VX-025,L,973.042,292.2,602.985,602.985,698.416,630.985,705.066,17.708,42.0,186,108,7,LUX-GL,1.3.0
VX-026,M,675.807,373.53,899.15,899.15,980.455,927.15,986.155,171.297,42.0,146,82,6,LUX-GL,1.3.0
VX-027,M,393.717,380.883,644.718,644.718,726.023,672.718,731.723,15.515,42.0,146,82,6,LUX-GL,1.3.0
VX-028,L,772.916,400.489,644.452,644.452,739.883,672.452,746.533,29.439,42.0,186,108,7,LUX-GL,1.3.0
VX-029,M,472.547,425.371,940.729,940.729,1022.034,968.729,1027.734,11.643,42.0,146,82,6,LUX-GL,1.3.0
VX-030,M,858.762,418.177,954.66,954.66,1035.965,982.66,1041.665,26.769,42.0,146,82,6,LUX-GL,1.3.0
VX-031,L,554.29,466.607,686.243,686.243,781.675,714.243,788.325,177.837,42.0,186,108,7,LUX-GL,1.3.0
VX-032,M,274.362,440.249,982.621,982.621,1063.927,1010.621,1069.627,24.401,42.0,146,82,6,LUX-GL,1.3.0
VX-033,M,638.335,504.733,996.65,996.65,1077.956,1024.65,1083.656,40.261,42.0,146,82,6,LUX-GL,1.3.0
VX-034,L,336.074,492.512,728.329,728.329,823.76,756.329,830.41,188.519,42.0,186,108,7,LUX-GL,1.3.0
VX-035,M,95.552,423.427,756.544,756.544,837.85,784.544,843.55,37.233,42.0,146,82,6,LUX-GL,1.3.0
VX-036,M,401.32,542.097,1038.918,1038.918,1120.223,1066.918,1125.923,57.054,42.0,146,82,6,LUX-GL,1.3.0
