led_id,x_mm,y_mm,aperture_nominal_mm,power_target_W,CCT,CRI_target,beam_target_deg
LED-01,1081.552,199.875,45,12-18,3000K,>=90,15-36
LED-02,832.421,466.625,45,12-18,3000K,>=90,15-36
LED-03,418.419,640.954,45,12-18,3000K,>=90,15-36
LED-04,-78.456,688.335,45,12-18,3000K,>=90,15-36
LED-05,-559.792,599.382,45,12-18,3000K,>=90,15-36
LED-06,-930.254,391.715,45,12-18,3000K,>=90,15-36
LED-07,-1116.468,106.463,45,12-18,3000K,>=90,15-36
LED-08,-1081.552,-199.875,45,12-18,3000K,>=90,15-36
LED-09,-832.421,-466.625,45,12-18,3000K,>=90,15-36
LED-10,-418.419,-640.954,45,12-18,3000K,>=90,15-36
LED-11,78.456,-688.335,45,12-18,3000K,>=90,15-36
LED-12,559.792,-599.382,45,12-18,3000K,>=90,15-36
LED-13,930.254,-391.715,45,12-18,3000K,>=90,15-36
LED-14,1116.468,-106.463,45,12-18,3000K,>=90,15-36
